device,elapsed_seconds,ipc_mean,kernel_ref,postprocess_error,quality_json,repetition,success,target_windows_per_repetition,windows_achieved
gpu,5.932297172956169,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3745, ""pmu_degraded"": 1505, ""intensity_undefined"": 268, ""gpu_telemetry"": 991}",8,True,5,991
gpu,5.983460234478116,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3753, ""pmu_degraded"": 1507, ""intensity_undefined"": 273, ""gpu_telemetry"": 929}",9,True,5,929
gpu,5.931976634077728,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3751, ""pmu_degraded"": 1506, ""intensity_undefined"": 268, ""gpu_telemetry"": 994}",10,True,5,994
gpu,0.7198728900402784,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 19, ""gpu_telemetry"": 56}",1,True,5,56
gpu,0.7190186008810997,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 277, ""pmu_degraded"": 16, ""intensity_undefined"": 13, ""gpu_telemetry"": 55}",2,True,5,55
gpu,0.7197651565074921,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 14, ""gpu_telemetry"": 55}",3,True,5,55
gpu,0.7195917405188084,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 293, ""intensity_undefined"": 4, ""gpu_telemetry"": 53}",4,True,5,53
gpu,0.7205392746254802,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 279, ""pmu_degraded"": 14, ""intensity_undefined"": 18, ""gpu_telemetry"": 55}",5,True,5,55
gpu,0.7187463212758303,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 293, ""intensity_undefined"": 5, ""gpu_telemetry"": 54}",6,True,5,54
gpu,0.7198666809126735,,rodinia_heartwall,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 279, ""pmu_degraded"": 14, ""intensity_undefined"": 15, ""gpu_telemetry"": 56}",7,True,5,56
