fold,regime,resource_state,k,selected_baseline,selected_baseline_edp_sum_ratio_vs_oracle,selected_direct_name,selected_direct_edp_sum_ratio_vs_oracle,selected_structured_name,selected_structured_edp_sum_ratio_vs_oracle,winner_formulation,winner_edp_sum_ratio_vs_oracle,n,oracle_edp_sum_js,selected_baseline_edp_sum_js,selected_direct_edp_sum_js,selected_structured_edp_sum_js,winner_edp_sum_js,improvement_pct_over_best_baseline,beats_baseline_above_noise_floor
extrapolation_top2,extrapolation,gpu_ready,30,intensity_threshold_train,1.0,random_forest+probe,1.0516964802109958,elasticnet,1.0,structured,1.0,12,2188.696463595119,2188.696463595119,2301.844367013241,2188.696463595119,2188.696463595119,0.0,False
extrapolation_top2,extrapolation,gpu_ready,100,intensity_threshold_train,1.0,random_forest+probe,1.052660289807517,elasticnet,1.0,structured,1.0,12,24197.010811697925,24197.010811697925,25471.23241351756,24197.010811697925,24197.010811697925,0.0,False
extrapolation_top2,extrapolation,gpu_ready,1000,intensity_threshold_train,1.0,random_forest+probe,1.0530297064862657,elasticnet,1.0,structured,1.0,12,2415086.172331916,2415086.172331916,2543157.4831897155,2415086.172331916,2415086.172331916,0.0,False
extrapolation_top2,extrapolation,none_ready,1,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,12,50.110055388237264,50.110055388237264,50.110055388237264,50.110055388237264,50.110055388237264,0.0,False
extrapolation_top2,extrapolation,none_ready,2,always_cpu_ref,1.0667498930337074,random_forest+probe,1.0667498930337074,elasticnet,1.0667498930337074,direct,1.0667498930337074,12,177.2054471246096,189.0338917651676,189.0338917651676,189.0338917651676,189.0338917651676,0.0,False
extrapolation_top2,extrapolation,none_ready,3,intensity_threshold_train,1.5664250792934262,random_forest+probe,1.4504510138755875,elasticnet,1.0,structured,1.0,12,287.67770289309624,450.62556856526896,417.26241583069145,287.67770289309624,287.67770289309624,36.16036839431388,True
extrapolation_top2,extrapolation,none_ready,5,intensity_threshold_train,1.125051586596189,random_forest+probe,2.237310199912592,elasticnet,1.1420618362989614,structured,1.1420618362989614,12,510.27055929576585,574.080702329026,1141.63352702752,582.7605319586204,582.7605319586204,-1.511952865578059,False
extrapolation_top2,extrapolation,none_ready,10,intensity_threshold_train,1.0,random_forest+probe,4.668382259445269,elasticnet,1.487552084036042,structured,1.487552084036042,12,967.2287076394057,967.2287076394058,4515.393339569977,1438.8030797884855,1438.8030797884855,-48.755208403604215,False
extrapolation_top2,extrapolation,none_ready,30,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,2.614053354020756,direct,1.0,12,3747.1088846093057,3747.1088846093057,3747.1088846093057,9795.14254769393,3747.1088846093057,0.0,False
extrapolation_top2,extrapolation,none_ready,100,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,12,28688.52026618156,28688.52026618156,28688.52026618156,28688.52026618156,28688.52026618156,0.0,False
extrapolation_top2,extrapolation,none_ready,1000,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,12,2457288.9293595776,2457288.9293595776,2457288.9293595776,2457288.9293595776,2457288.9293595776,0.0,False
interpolation_fold0,interpolation,cpu_ready,1,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,1.2970269240761343,1.2970269240761343,1.2970269240761343,1.2970269240761343,1.2970269240761343,0.0,False
interpolation_fold0,interpolation,cpu_ready,2,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,5.188107696304537,5.188107696304537,5.188107696304537,5.188107696304537,5.188107696304537,0.0,False
interpolation_fold0,interpolation,cpu_ready,3,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,11.673242316685208,11.673242316685208,11.673242316685208,11.673242316685208,11.673242316685208,0.0,False
interpolation_fold0,interpolation,cpu_ready,5,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,32.42567310190335,32.42567310190335,32.42567310190335,32.42567310190335,32.42567310190335,0.0,False
interpolation_fold0,interpolation,cpu_ready,10,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,129.7026924076134,129.7026924076134,129.7026924076134,129.7026924076134,129.7026924076134,0.0,False
interpolation_fold0,interpolation,cpu_ready,30,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.3726049855884916,direct,1.0,20,436.6810655040845,436.6810655040845,436.6810655040845,599.3906076230011,436.6810655040845,0.0,False
interpolation_fold0,interpolation,cpu_ready,100,k_break_even_table_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,20,1681.4501734906037,1681.4501734906037,1681.4501734906037,1681.4501734906037,1681.4501734906037,0.0,False
interpolation_fold0,interpolation,cpu_ready,1000,k_break_even_table_train,1.0038388984407685,random_forest+probe,1.0625734049088138,elasticnet,1.0284995409251545,structured,1.0284995409251545,20,86816.2491709692,87149.52793454503,92248.63748300874,89290.47241718565,89290.47241718565,-2.4566334819950297,False
