fold,regime,resource_state,k,method,name,with_probe,abstention_rate,startup_mode_cpu_e,startup_mode_cpu_t,startup_mode_gpu_e,startup_mode_gpu_t,n,accuracy,balanced_accuracy,mcc,precision_migrate_gpu,recall_migrate_gpu,tp_gpu,fp_gpu,fn_gpu,tn_cpu,regret_ratio_mean,regret_ratio_median,regret_ratio_p95,regret_ratio_max,oracle_savings_captured_pct,edp_sum_js,edp_sum_ratio_vs_oracle
interpolation_fold0,interpolation,gpu_ready,1000,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.75,0.7261904761904762,0.43463356032809364,0.5714285714285714,0.6666666666666666,4,3,2,11,3.2748316710984575,1.0,10.659350522192637,13.417305938052449,75.0,391887.2841655428,4.968851588010792
interpolation_fold0,interpolation,none_ready,1,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,2.466817330099965,1.0
interpolation_fold0,interpolation,none_ready,2,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,6.875135238713041,1.0
interpolation_fold0,interpolation,none_ready,3,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.95,,0.0,,0,1,0,19,2.3906167417737856,1.0,2.3906167417738056,28.81233483547571,95.0,82.79840475129629,5.966374564125526
interpolation_fold0,interpolation,none_ready,5,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.95,,0.0,,0,1,0,19,1.5129503712001668,1.0,1.512950371200174,11.259007424003334,95.0,105.85829944442195,2.96817733279118
interpolation_fold0,interpolation,none_ready,10,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.95,,0.0,,0,1,0,19,1.1189223832565847,1.0,1.1189223832565862,3.378447665131691,95.0,200.3279621410402,1.4781338779113185
interpolation_fold0,interpolation,none_ready,30,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.8,0.6078431372549019,0.21568627450980393,0.3333333333333333,0.3333333333333333,1,2,2,15,5.60572312286073,1.0,18.509933931628503,72.95717498996325,80.0,1225.6176785995806,2.7875966364131415
interpolation_fold0,interpolation,none_ready,100,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.85,0.7745098039215685,0.4900980294098034,0.5,0.6666666666666666,2,2,1,15,1.739375409688514,1.0,5.626308032891569,9.828765861292979,85.0,4663.802901859556,2.759598309321971
interpolation_fold0,interpolation,none_ready,1000,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.8,0.7333333333333334,0.4666666666666667,0.6,0.6,3,2,2,13,4.609058456983111,1.0,11.682859436946634,61.42442482376188,80.0,397220.5307637674,4.573230118667052
interpolation_fold0,interpolation,cpu_ready,1,model_structured,random_forest,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,1.2970269240761343,1.0
interpolation_fold0,interpolation,cpu_ready,2,model_structured,random_forest,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,5.188107696304537,1.0
interpolation_fold0,interpolation,cpu_ready,3,model_structured,random_forest,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,11.673242316685208,1.0
interpolation_fold0,interpolation,cpu_ready,5,model_structured,random_forest,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,32.42567310190335,1.0
