kernel_ref,n_gpu_telemetry,n_windows_total,quality_json,repetition,run_dir
rodinia_myocyte,65,6587,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 954, ""pmu_degraded"": 2442, ""intensity_undefined"": 3125, ""gpu_telemetry"": 65}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_myocyte__REF__rep01
rodinia_myocyte,65,6582,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 946, ""pmu_degraded"": 2466, ""intensity_undefined"": 3104, ""gpu_telemetry"": 65}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_myocyte__REF__rep02
rodinia_myocyte,65,6538,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 958, ""pmu_degraded"": 2425, ""intensity_undefined"": 3089, ""gpu_telemetry"": 65}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_myocyte__REF__rep03
gpu_dgemm_n4096,808,5301,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 393, ""pmu_degraded"": 3885, ""intensity_undefined"": 77, ""ok"": 137, ""gpu_telemetry"": 808}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__gpu_dgemm_n4096__REF__rep01
gpu_dgemm_n4096,806,5297,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 392, ""pmu_degraded"": 3885, ""intensity_undefined"": 75, ""ok"": 138, ""gpu_telemetry"": 806}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__gpu_dgemm_n4096__REF__rep02
gpu_dgemm_n4096,812,5303,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 395, ""pmu_degraded"": 3886, ""intensity_undefined"": 71, ""ok"": 138, ""gpu_telemetry"": 812}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__gpu_dgemm_n4096__REF__rep03
rodinia_backprop,151,996,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 829, ""pmu_degraded"": 15, ""gpu_telemetry"": 151}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_backprop__REF__rep01
rodinia_backprop,149,980,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 815, ""pmu_degraded"": 15, ""gpu_telemetry"": 149}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_backprop__REF__rep02
rodinia_backprop,151,990,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 823, ""pmu_degraded"": 15, ""gpu_telemetry"": 151}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_backprop__REF__rep03
rodinia_dwt2d,375,2460,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 966, ""pmu_degraded"": 104, ""intensity_undefined"": 1014, ""gpu_telemetry"": 375}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_dwt2d__REF__rep01
rodinia_dwt2d,375,2471,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 947, ""pmu_degraded"": 123, ""intensity_undefined"": 1025, ""gpu_telemetry"": 375}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_dwt2d__REF__rep02
rodinia_dwt2d,378,2486,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 946, ""pmu_degraded"": 123, ""intensity_undefined"": 1038, ""gpu_telemetry"": 378}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_dwt2d__REF__rep03
rodinia_heartwall,55,365,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 16, ""gpu_telemetry"": 55}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_heartwall__REF__rep01
